idFacultad,nombreFacultad,decanoFacultad,secretarioFacultad,idDivision
1012,Dise침o de Interaccion,Decano 1,secretario 1,112
1013,Licenciatura en Espa침ol y Lenguas Extranjeras Ingles y Frances,Decano 2,secretario 2,112
1014,Administracion de Empresas,Decano 3,secretario 3,113
1015,Megocios Internacionales,Decano 4,secretario 4,113
1016,Contaduria Publica ,Decano 5,aecretario 5,113
1017,Derecho,Decano 6,oecretario 6,114
1018,Arquitectura,Decano 7,aecretario 7,115
1019,Ingenieria Ambiental,Decano 8,lecretario 8,115
1020,Ingenieria Civil,Decano 9,lecretario 9,115
1021,Ingenieria de Sistemas,Decano 10,secretario 10,115
1022,Ingenieria Electronica,Decano 11,aecretario 11,115
1023,Ingenieria Mecanica,Decano 12,aecretario 12,115
1024,Ingenieria Industrial,Decano 13,lecretario 13,115
1025,Cultura Fisica Deporte y Recreacion,Decano 14,necretario 14,117
1026,Facultad de Derecho,Decano 15,oecretario 15,119
1027,Facultad de Gobierno y Relaciones Internacionales,Decano 16,secretario 16,119
1028,Facultad de Cultura Fisica y Deporte,Decano 17,eecretario 17,120
1029,Facultad de Psicologia,Decano 18,aecretario 18,120
1030,Facultad de Comunicaci칩n Social,Decano 19,lecretario 19,121
1031,Facultad de Dise침o Grafico,Decano 20,oecretario 20,121
1032,Facultad de sociologia,Decano 21,aecretario 21,121
1033,Facultad e Filosofia y Letras,Decano 22,secretario 22,122
1034,Facultad de Teologia,Decano 23,aecretario 23,122
1035,Facultad de Ingenieria Civil,Decano 24,lecretario 24,123
1036,Facultad de Ingenieria Electronica,Decano 25,aecretario 25,123
1037,Facultad de Ingenieria Mecanica,Decano 26,aecretario 26,123
1038,Facultad de Ingenieria de Telecomunicaciones,Decano 27,secretario 27,123
1039,Facultad de Ingenieria Ambiental,Decano 28,lecretario 28,123
1040,Facultad de Ingenieria Industrial,Decano 29,lecretario 29,123
1041,Facultad de Administracion de Empresas,Decano 30,secretario 30,124
1042,Facultad de Contaduria Publica,Decano 31,aecretario 31,124
1043,Facultad de Econnomia,Decano 32,aecretario 32,124
1044,Facultad de Estadistica,Decano 33,aecretario 33,124
1045,Facultad de Mercadeo,Decano 34,oecretario 34,124
1046,Facultad de Negocios Internacionales,Decano 35,secretario 35,124
1047,Facultad de Educacion,Decano 36,necretario 36,125
1048,Facultad de Ciencias y Tecnologia,Decano 37,aecretario 37,125
1049,Odontologia,Decano 38,aecretario 38,127
1050,Optometria,Decano 39,aecretario 39,127
1051,Tecnolgia de Laboratorio Dental,Decano 40,lecretario 40,127
1052,Cultura Fisica  Deporte y Recreacion,Decano 41,necretario 41,127
1053,Quimica Ambiental,Decano 42,lecretario 42,128
1054,Ingenieria Civil,Decano 43,lecretario 43,128
1055,Ingenieria Ambiental,Decano 44,lecretario 44,128
1056,Ingenieria Mecatronica,Decano 45,aecretario 45,128
1057,Ingenieria Industrial,Decano 46,lecretario 46,128
1058,Ingenieria de Telecomunicaciones,Decano 47,secretario 47,128
1059,Arquitectura,Decano 48,aecretario 48,128
1060,Administracion de Empresas,Decano 49,secretario 49,129
1061,Administracion de Empresas Agropecuarias,Decano 50,secretario 50,129
1062,Economia,Decano 51,aecretario 51,129
1063,Contaduria Publica ,Decano 52,aecretario 52,129
1064,Negocios Internacionales,Decano 53,secretario 53,129
1065,Derecho,Decano 54,oecretario 54,130