idSede,nombreSede,ciudad,direccion ,idSeccional
32,Campus Centro Historico,Tunja,Cll. 19 Nº 11 - 64 Tunja - Boyacá,11
33,Campus Avenida Universitaria - Edificio Giordano Bruno,Tunja,Universitaria Cll. 48 No. 1-235 este. Tunja - Boyacá,11
34,Campus Avenida Universitaria - Edificio Santo Domingo de Guzman,Tunja,Universitaria No. 45 - 202. Tunja - Boyacá,11
35,Sede Principal,Bogota,carrera 9 n.° 51-11,12
36,Edificio Dotor Angelico,Bogota,carrera 9 n.° 72-90,12
37,Edificio El Aquinate,Bogota,carrera 9A n.° 63-28,12
38,Admisiones: Edificio Santo Domingo de Guzmán,Bogota,carrera 7 n.° 51A-13,12
39,Decanatura de División de Educación Abierta y a Distancia,Bogota,carrera 10 n.° 72-50,16
40,Campus San Alberto Magno,Bogota, Autopista Norte calle 205 vía Arrayanes km 1 con 6,12
41,Campus Bucaramanga,Bucaramanga,Cra. 18 Nº 9 - 27,13
42,Campus Florida Blanca,Bucaramanga,Cra. 27 Nº 180 - 395,13
43,Campus Pie de Cuesta,Bucaramanga,Finca Colorados Km 13 Autopista Piedecuesta,13
44,Campus El Limonal,Bucaramanga,Km 14 Autopista Piedecuesta,13
45,Sede Principal Medellin,Medellin,Carrera 82 # 77 BB - 27,14
46,Campus Aguas Claras,Villavicencio,Carrera 22 con Calle 1a - Vía Puerto López,15
47,Campus Loma Linda,Villavicencio,"Carrera 48 N° 19 - 05 Sur - Vía Acacías Villavicencio Meta.",15