id_tattoo_shop,name,address,city,Department,Phone,actual_state
1,Ninja Tattoo Tunja,Prívate Studio  Cl. 47A ##6-27,Tunja,Boyaca,321 9002374,Funcionando
2,Monster House Tattoo y Piercing Studio,Cra. 22 # 9- 44 Centro Comercial Paseo de la Salamandra,Tunja,Boyaca,320 2240569,Cerrado
3,SKIN INK TATTOO,RESTAURATE LA ROMANA D.C  Cra. 9 ##20,Tunja,Boyaca,316 5152020,Funcionando
4,SALOON PRIVE,Cl. 29 ##10a-1,Tunja,Boyaca,311 5287058,Funcionando
5,DONOVAN Tattoo Studio, A dos cuadras de la iglesia  Cra. 10 ##28,Tunja,Boyaca,311 2939361,Funcionando
6,Dark Side, Tv 7 No.44-39  Local 2  Santa Ines,Tunja,Boyaca,321 3790956,Aun no responden
7,Tokio Tatto Shop,Cra. 9 ##24-77,Tunja,Boyaca,314 3788665,Cerrado
8,El Diamante Negro Tatuajería,Cl. 18 ##12 -37,Tunja,Boyaca,310 8843180,Funcionando
9,InkSide Tattoo Studio,las terrazas  Av Universitaria 41a # 1-02 segundo piso  Av Universitaria,Tunja,Boyaca,301 6920102,No se sabe
10,LA PIRAÑA TATTOO SHOP,Tv. 0 Este ##66a 20,Tunja,Boyaca,313 5574233,Cerrado
11,SORRY MOM TATTOO STUDIO,Cl. 22 ## 9-44 local 214,Tunja,Boyaca,310 4787465,Funcionando
12,Supplis tattoo,150003,Tunja,Boyaca,321 9708574,Cerrado
13,Soul Art Tattoo Studio, CC Boulevard  Av. Olímpica #3 - 76 Local 204,Tunja,Boyaca,320 9015810,Funcionando
14,Ancestral Tattoo Studio, Cl. 39 ##6 - 32,Tunja,Boyaca,301 2325570,Funcionando
15,Piel Toxica Pink,Cra. 10 ###22-22 Local 1,Tunja,Boyaca,310 5810318,Aun no responden
16,Monster House Tatuaje  Piercing & Galeria,Carrera 10 # 20 - 91 El Virrey Centro Comercial Local 219,Tunja,Boyaca,0,Cerrado
17,Tinta Viva Tattoo & Body Piercing,Carrera 12 14 03 B. Nueva Santa Barbara,Tunja,Boyaca,300 4117121,Funcionando
18,Tattoo studio SorryMom,Paseo De La Salamandra,Tunja,Boyaca,0,Cerrado
19,Tokio Tattoo Premium,Tv. 11 ##2354,Tunja,Boyaca,0,Cerrado
20,Dragon's art tattoo,Cl. 17 ##13 -42 local 3,Tunja,Boyaca,310 2791926,Funcionando
21,Inkcorp Tatto Estudio,150001,Tunja,Boyaca,314 4673499,Cerrado
22,Afrik Tattoo and Gallery Supply,No presenta,Tunja,Boyaca,0,Cerrado
23,Maura Velandia,estudio privado,Tunja,Boyaca,3022600012,Funcionando
24,Alex Raven,estudio privado,Tunja,Boyaca,3156899355,Funcionando
25,Nixon Betancourt,estudio privado,Tunja,Boyaca,0,Funcionando