idPrograma,nombrePrograma,modalidad,idSeccional,idDivision
10500,Diseño de Interaccion,Pregrado,11,112
10501,Licenciatura en Español y Lenguas Extranjeras Ingles y Frances,Pregrado,11,112
10502,Administracion de Empresas,Pregrado,11,113
10503,Megocios Internacionales,Pregrado,11,113
10504,Contaduria Publica ,Pregrado,11,113
10505,Derecho,Pregrado,11,114
10506,Arquitectura,Pregrado,11,115
10507,Ingenieria Ambiental,Pregrado,11,115
10508,Ingenieria Civil,Pregrado,11,115
10509,Ingenieria de Sistemas,Pregrado,11,115
10510,Ingenieria Electronica,Pregrado,11,115
10511,Ingenieria Mecanica,Pregrado,11,115
10512,Ingenieria Industrial,Pregrado,11,115
10513,Cultura Fisica  Deporte y Recreacion,Pregrado,11,116
10514,Especialización en Gerencia Estratégica de Costos (Virtual),Posgrado,11,113
10515,Especialización en Auditoría de Salud,Posgrado,11,113
10516,Especializacion en Auditoria y Aseguramiento de la Informacion,Posgrado,11,113
10517,Especializacion en Gobierno y Gestion Territorial,Posgrado,11,113
10518,Especializacion de Innovacion y Marketing,Posgrado,11,113
10519,Maestria en Administracion,Posgrado,11,113
10520,Doctorado en Derecho Público ,Posgrado,11,114
10521,Maestría en Derecho Minero - Ambiental,Posgrado,11,114
10522,Especialización en Derecho Penal y Procesal Penal,Posgrado,11,114
10523,Especialización en Derecho Administrativo,Posgrado,11,114
10524,Especialización en Contratación Estatal,Posgrado,11,114
10525,Especialización en Psicología Jurídica y Forense,Posgrado,11,114
10526,Maestria en Derecho Administrativo,Posgrado,11,114
10527,Maestria  en Derecho Penal y Procesal Penal,Posgrado,11,114
10528,Maestria  en Derecho Privado,Posgrado,11,114
10529,Doctorado en Derecho Público,Posgrado,11,114
10530,Especialización en Administración y Gerencia de Sistemas de la Calidad,Posgrado,11,115
10531,Especialización en Gerencia de Proyectos de Construcción,Posgrado,11,115
10532,Especialización en Geotecnia Vial y Pavimentos,Posgrado,11,115
10533,Especialización en Estructuras,Posgrado,11,115
10534,Maestría en Ingeniería Civil con Énfasis en Hidroambiental,Posgrado,11,115
10535,Maestria en Ingenieria,Posgrado,11,115
10536,Maestria en Manejo y Sostenibilidad Ambiental,Posgrado,11,115
10537,Maestria en Pedagogia,Posgrado,11,117
10538,Especializacion en Gerencia Estrategica de Costos,Posgrado V,11,113
10539,Doctorado en Derecho Publico,Posgrado V,11,114
10540,Administracion de Empresas,Pregrado,12,124
10541,Comunicación Social,Pregrado,12,121
10542,Contaduria Publica ,Pregrado,12,124
10543,Cultura Fisica  Deporte y Recreacion,Pregrado,12,120
10544,Derecho,Pregrado,12,119
10545,Diseño Grafico,Pregrado,12,121
10546,Economia,Pregrado,12,124
10547,Estadistica,Pregrado,12,124
10548,Gobierno y relaciones Internacionales,Pregrado,12,119
10549,Ingenieria Ambiental,Pregrado,12,123
10550,Ingenieria Civil,Pregrado,12,123
10551,Ingenieria de Telecomunicaciones,Pregrado,12,123
10552,Ingenieria Electronica,Pregrado,12,123
10553,Ingenieria Industrial,Pregrado,12,123
10554,Ingenieria Mecanica,Pregrado,12,123
10555,Licenciatura en Filosofia y Letras,Pregrado,12,122
10556,Mercadeo,Pregrado,12,124
10557,Negocios Internacionales,Pregrado,12,124
10558,Psicologia,Pregrado,12,120
10559,Sociologia,Pregrado,12,121
10560,Teologia,Pregrado,12,122
10561,Doctorado en Derecho,Posgrado,12,119
10562,Doctorado en Educacion,Posgrado,12,125
10563,Doctorado en Filosofia,Posgrado,12,122
10564,Doctorado en Psicologia ,Posgrado,12,120
10565,Especializacion en Auditoria de Salud,Posgrado,12,120
10566,Especializacion en Auditoria de Sistemas,Posgrado,12,123
10567,Especializacion en Auditoria y administracion de la Informacion Tributaria,Posgrado,12,124
10568,Especializacion en Derecho Administrativo,Posgrado,12,119
10569,Especializacion en Derecho Penal,Posgrado,12,119
10570,Especializacion en Direccion y Gestion de la Calidad,Posgrado,12,123
10571,Especializacion en Finanzas,Posgrado,12,124
10572,Especializacion en Gerencia de Negocios Internacionales,Posgrado,12,124
10573,Especializacion en Gerencia Empresarial,Posgrado,12,124
10574,Especializacion en Gestion de Redes de datos,Posgrado,12,123
10575,Especializacion en Gestion Territorial y Avaluos,Posgrado,12,123
10576,Especializacion en Gerencia y Multimedia,Posgrado,12,123
10577,Especializacion en Psicologia Juridica y Forense,Posgrado,12,124
10578,Maestria en Actividad Fisica para la Salud,Posgrado,12,120
10579,Mestria en Administracion MBA,Posgrado,12,124
10580,Maestria en Calidad y Gestion Integral,Posgrado,12,124
10581,Maestria en Ciencias Economicas,Posgrado,12,124
10582,Maestria en Comunicación   Desarrollo y Cambio Social,Posgrado,12,121
10583,Mestria en Defensa de los Derechos humanos y el DIH ante Organismos  Tribunales y Cortes Internacionales,Posgrado,12,121
10584,Maestria en Derecho Contractual Publico y Privado,Posgrado,12,119
10585,Mestria en Derecho Penal,Posgrado,12,119
10586,Maestria en Derecho Publico,Posgrado,12,119
10587,Maestria en Estadistica aplicada,Posgrado,12,119
10588,Maestria en Filodofia Latinoamericana,Posgrado,12,122
10589,Maesria en Gestion del Talento humano,Posgrado,12,124
10590,Maestria en Gobierno y Relaciones Internacionales,Posgrado,12,124
10591,Maestria en Infraestructura Vial,Posgrado,12,123
10592,Maestria en Ingenieria Electronica,Posgrado,12,123
10593,Maestria Planeacion para el Desarrollo,Posgrado,12,123
10594,Maestria en Psicologia Clinica y de la Familia,Posgrado,12,120
10595,Maestria en Psicologia JuridicaMaestria en Tecnologia Limpias,Posgrado,12,120
10596,Mestria en Telecomunicaicones y Regulacion TIC,Posgrado,12,123
10597,Odontologia,Pregrado,13,127
10598,Optometria,Pregrado,13,127
10599,Tecnolgia de Laboratorio Dental,Pregrado,13,127
10600,Cultura Fisica  Deporte y Recreacion,Pregrado,13,127
10601,Quimica Ambiental,Pregrado,13,128
10602,Ingenieria Civil,Pregrado,13,128
10603,Ingenieria Ambiental,Pregrado,13,128
10604,Ingenieria Mecatronica,Pregrado,13,128
10605,Ingenieria Industrial,Pregrado,13,128
10606,Ingenieria de Telecomunicaciones,Pregrado,13,128
10607,Arquitectura,Pregrado,13,128
10608,Administracion de Empresas,Pregrado,13,129
10609,Administracion de Empresas Agropecuarias,Pregrado,13,129
10610,Economia,Pregrado,13,129
10611,Contaduria Publica ,Pregrado,13,129
10612,Negocios Internacionales,Pregrado,13,129
10613,Derecho,Pregrado,13,130
10614,Doctorado en Odontologia,Posgrado,13,127
10615,Maestria en Odontologia,Posgrado,13,127
10616,Maestria en Administracion,Posgrado,13,129
10617,Maestria en Agronegocios,Posgrado,13,129
10618,Mestria en Derecho,Posgrado,13,130
10619,Maestria en Derecho Tributario,Posgrado,13,130
10620,Maestria en Ciencias Contables,Posgrado,13,130
10621,Mestria en Calidad y Gestion Integral,Posgrado,13,128
10622,Maestria en Educacion Ambiental,Posgrado,13,128
10623,Maestria en Gestion y consultoria en TIC,Posgrado,13,128
10624,Maestria en Arquitectura,Posgrado,13,128
10625,Maestria en Ordenamiento Territorial,Posgrado,13,128
10626,Especializacion en Gerencia Tributaria,Posgrado,13,129
10627,Especializacion en Revisoria Fiscal y auditoria Externa,Posgrado,13,130
10628,Especializacion en finanzas Publicas,Posgrado,13,129
10629,Especializacion en Gerencia de Intituciones en Seguridad Social y Salud,Posgrado,13,129
10630,Especializacion en Auditoria de Salud,Posgrado,13,129
10631,Especializacion en Seguridad Social,Posgrado,13,130
10632,Especializacion en Derecho Constirucional,Posgrado,13,130
10633,Especializacion en Derecho de Relaciones Laborales,Posgrado,13,130
10634,Especializacion en Derecho Administrativo,Posgrado,13,130
10635,Especializacion en Derecho Procesal,Posgrado,13,130
10636,Especializacion en Contratacion Estatal,Posgrado,13,130
10637,Especializacion en Ortodoncia,Posgrado,13,127
10638,Especializacion en Periodoncia,Posgrado,13,127
10639,Especializacion en Endodoncia,Posgrado,13,127
10640,Especializacion en Rehabilitacion Oral,Posgrado,13,127
10641,Especializacion en Segmento Anterior y Lentes de Contacto,Posgrado,13,127
10642,Especializacion en Automatizacion Industrial,Posgrado,13,128
10643,Especializacion Interventoria y Supervision de la Contruccion,Posgrado,13,128
10644,Especializacion de avaluos,Posgrado,13,128
10645,Especializacion Direccion y Gestion de Calidas,Posgrado,13,128